Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1],Interface
CrossFTP,CrossFTP Software,2006,1.98.7,Freeware,Yes,Graphical user interface
Classic FTP,NCH Software,2007,2.52,Freeware,Yes,Graphical user interface
Fling FTP (free version contains adware),NCH Software,2007,1.0.7,Proprietary software,Yes,Windows Explorer Windows Explorer
LeechFTP,Jan Debis,1998,1.3 (Discontinued),Proprietary software,No,GUI
PbFtpClient,Level5Software,2007,6.1,Proprietary software,?,Microsoft Windows Microsoft Windows
FTP Voyager," Rhino Software, Inc ",1997 (January)," 16.1.0.0 (August 20, 2013; 6 years ago (2013-08-20)) ",Proprietary software,Yes,Graphical user interface
