Name,Parsing algorithm,Input grammar notation,Boolean grammar abilities,Development platform,Software license
LuZc[7][8],delta chain,modular," Conjunctive, not complimentary",POSIX,Proprietary software
bnf2xml,Recursive descent (is a text filter output is xml)," simple Backus–Naur form[ Backus–Naur form ] grammar (input matching), output is xml",?," Beta, and not a full EBNF parser"," Free, GNU General Public License "
