Model,Launch,Code name,Semiconductor device fabrication (Semiconductor device fabrication),Transistors (million),Die size (mm2),Computer bus Computer bus,Core config1,Clock rate,,,Fillrate,,Memory configuration,,,,Processing power (GFLOPS)2,Thermal design power (Watts),Comments
,,,,,,,,Core (Hertz),Shader (Hertz),Memory (Hertz),Pixel (Pixel/s),Texture (Texel (graphics)/s),Size (Megabyte),Bandwidth (Gigabyte/s),DRAM type,Bus width (Bit),Single precision floating-point format,,
GeForce 310," November 27, 2009 ",GT218,TSMC 40 nm,260,57,PCIe 2.0 ×16,16:8:4,589,1402,1000,2.356,4.712,512,8,DDR2,64,44.8,30.5," OEM Card, similar to Geforce 210 "
GeForce 315,February 2010,GT216,,486,100,,48:16:4,475,1100,1580,3.8,7.6,512,12.6,DDR3,,105.6,33," OEM Card, similar to Geforce GT220 "
GeForce GT 320,,GT215,,727,144,,72:24:8,540,1302,,4.32,12.96,1024,25.3,GDDR3,128,187.5,43,OEM Card
GeForce GT 330[23],,GT215-301-A3[24],,,,,96:32:8,550,1350,,4.40,17.60,512,32.00,,128,257.3,75," Specifications vary depending on OEM, similar to GT230 v2. "
,,GT92[25],,,,,,500,1250,,4.000,24.00,256,51.20,,256,240.0,,
,,GT92B[26],,,,,,,,96:32:16,,,8.000,1024,16.32,DDR2,,,,128
GeForce GT 340,,GT215,96:32:8,550,1340,3400,,,512 1024,54.4,GDDR5[27],128,257.3,69," OEM Card, similar to GT240 "
