Kernel Name,HTTP,FTP,Network File System (protocol),CIFS,Name server,Transport-layer load balancer,Application-layer load balancer,9P (protocol),Transport Layer Security proxy,Application firewall,Memcached server
Linux kernel,(TUX web server patch),(TUX web server patch),knfsd,(CIFSD available),?,IP Virtual Server,(KTCPVS (page does not exist)),(patch available),SOL_TLS[15],(Tempesta FW)[16],(kmemcached)
DragonFly BSD,No,No,Yes,Yes,?,?,?,No,No,?,?
FreeBSD,No,No,Yes,No,No,Yes,No,No,No,?,?
Solaris (operating system),?,?,Yes,Yes[17],?,Yes[18],Yes[18],?,KSSL,?,?
Architecture of Windows NT,HTTP.sys,?,?,Yes,?,Yes,Yes,No,?,?,?
XNU,No,No,Yes,No,No,No,No,No,No,?,?
