Rank, Country and (Argentine provinces), Intl. $
1, IMG Qatar, 86008
2, IMG Luxembourg, 82441
3, IMG Norway, 53738
4, IMG Singapore, 51226
5, IMG Brunei, 50199
6, IMG United States, 47440
—, IMG Hong Kong, 43847
7, IMG Switzerland, 43196
8, IMG Ireland, 42110
9, IMG Netherlands, 40558
10, IMG Iceland, 40471
11, IMG Kuwait, 39915
12, IMG Austria, 39887
13, IMG Canada, 39098
14, IMG United Arab Emirates, 38894
15, IMG Sweden, 37334
16, IMG Denmark, 37304
17, IMG Australia, 36918
18, IMG Belgium, 36416
19, IMG United Kingdom, 36358
20, IMG Finland, 36320
21, IMG Germany, 35539
22, IMG Bahrain, 34662
23, IMG France, 34205
24, IMG Japan, 34116
25, IMG China Republic of (Taiwan), 30912
26, IMG Greece, 30681
27, IMG Italy, 30631
28, IMG Spain, 30589
29, IMG Cyprus, 29853
30, IMG Slovenia, 29521
31, IMG Israel, 28474
32, IMG The Bahamas, 27735
33, IMG South Korea, 27692
34, IMG New Zealand, 27083
-, Santa Cruz, 26438
-, Tierra del Fuego, 25993
35, IMG Czech Republic, 25118
36, IMG Oman, 24674
37, IMG Malta, 23971
38, IMG Saudi Arabia, 23814
—, Neuquén, 23380
—, Chubut, 22983
39, IMG Portugal, 22232
40, IMG Slovakia, 22097
41, IMG Seychelles, 20829
42, IMG Estonia, 20561
43, IMG Trinidad and Tobago, 20338
—, Buenos Aires City, 20036
44, IMG Hungary, 19553
45, IMG Antigua and Barbuda, 19340
46, IMG Barbados, 18977
47, IMG Lithuania, 18977
48, IMG Croatia, 18575
49, IMG Equatorial Guinea[1], 18058
50, IMG Poland, 17537
51, IMG Latvia, 17106
52, IMG Russia, 15948
—, Río Negro, 15046
53, IMG Botswana, 14907
—, Buenos Aires, 14773
—, San Luis, 14649
54, IMG Gabon, 14545
55, IMG Mexico, 14534
56, IMG Chile, 14529
-, IMG Argentina, 14408
57, Santa Fe, 14216
58, IMG Libya, 14192
—, San Juan, 14154
59, IMG Malaysia, 14081
—, Catamarca, 14105
