Company,Software,On-demand scan,Real-time protection,Firewall (computing),Email security,Antispam,Web protection,Live-Update,Support,Software license,Price,First release,Country of origin,Notes
Clam AntiVirus,Clam AntiVirus,Yes,Yes,No,No,No,No,Yes,No,GNU General Public License,Free,1998,United States,
FRISK Software International,F-PROT Antivirus,Yes,Yes,No,Yes,No,No,Yes,Yes,Proprietary software,Trialware,1989,Iceland,
Panda Security,Panda Security,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Proprietary software,?,2009,Spain,
