State,Governor term length,Governor term limit,Lieutenant Governor,First in line of succession
Government of Alabama,Four years,Two consecutive terms,Yes,Lieutenant Governor
Government of Alaska,Four years,Two terms,Yes,Lieutenant Governor
Government of Arizona,Four years,Two consecutive terms[note 3],No,Secretary of State
Government of Arkansas,Four years,Two terms,Yes,Lieutenant Governor
Government of California,Four years,Two terms,Yes,Lieutenant Governor
Government of Colorado,Four years,Two terms,Yes,Lieutenant Governor
Government of Connecticut,Four years,None,Yes,Lieutenant Governor
Government of Delaware,Four years,Two terms,Yes,Lieutenant Governor
Government of D.C.,Mayor of D.C. Four years,Mayor: None,No,D.C. CouncilD.C. Council
Government of Florida,Four years,Two consecutive terms,Yes,Lieutenant Governor
Government of Georgia (U.S. state),Four years,Two terms,Yes,Lieutenant Governor
Government of Hawaii,Four years,Two terms,Yes,Lieutenant Governor
Government of Idaho,Four years,None,Yes,Lieutenant Governor
Government of Illinois,Four years,None,Yes,Lieutenant Governor
Government of Indiana,Four years,Two terms in a 12-year period[note 4],Yes,Lieutenant Governor
Government of Iowa,Four years,None,Yes,Lieutenant Governor
Government of Kansas,Four years," There is no lifetime limit on the number, but one must be out of office for at least one election cycle after serving 2 consecutive terms before being eligible again. ",Yes,Lieutenant Governor
Government of Kentucky,Four years,Two terms,Yes,Lieutenant Governor
Government of Louisiana,Four years,Two terms,Yes,Lieutenant Governor
Government of Maine,Four years,Two terms,No,President of the Senate
Government of Maryland,Four years,Two consecutive terms,Yes,Lieutenant Governor
Government of Massachusetts,Four years,None,Yes,Lieutenant Governor
Government of Michigan,Four years,Two terms,Yes,Lieutenant Governor
Government of Minnesota,Four years,None,Yes,Lieutenant Governor
Government of Mississippi,Four years,Two terms,Yes,Lieutenant Governor
Government of Missouri,Four years,Two terms,Yes,Lieutenant Governor
Government of Montana,Four years,Two terms,Yes,Lieutenant Governor
Government of Nebraska,Four years,Two terms,Yes,Lieutenant Governor
Government of Nevada,Four years,Two terms,Yes,Lieutenant Governor
Government of New Hampshire,Two years,None,No,President of the Senate
Government of New Jersey,Four years,Two terms,Yes[note 5],Lieutenant Governor
Government of New Mexico,Four years,Two terms,Yes,Lieutenant Governor
Government of New York (state),Four years,None,Yes,Lieutenant Governor
Government of North Carolina,Four years,Two terms,Yes,Lieutenant Governor
Government of North Dakota,Four years,None,Yes,Lieutenant Governor
Government of Ohio,Four years,Two terms,Yes,Lieutenant Governor
Government of Oklahoma,Four years,Two terms,Yes,Lieutenant Governor
Government of Oregon,Four years,Two consecutive terms,No,Secretary of State
Government of Pennsylvania,Four years,Two consecutive terms[note 6],Yes,Lieutenant Governor
Government of Puerto Rico,Four years,None,No,Secretary of State
Government of Rhode Island,Four years,Two terms,Yes,Lieutenant Governor
Government of South Carolina,Four years,Two terms,Yes,Lieutenant Governor
Government of South Dakota,Four years,Two terms,Yes,Lieutenant Governor
Government of Tennessee,Four years,Two terms,Yes[note 7],President of the Senate
Government of Texas,Four years,None,Yes,Lieutenant Governor
Government of Utah,Four years,None,Yes,Lieutenant Governor
Government of Vermont,Two years,None,Yes,Lieutenant Governor
Government of Virginia,Four years," No limit on number, but terms cannot be consecutive ",Yes,Lieutenant Governor
Government of Washington (state),Four years,None,Yes,Lieutenant Governor
Government of West Virginia,Four years,Two terms,Yes[note 8],President of the Senate
Government of Wisconsin,Four years,None,Yes,Lieutenant Governor
Government of Wyoming,Four years,Two terms,No,Secretary of State
