Dataset Name, Brief description, Preprocessing, Instances, Format, Default Task, Created (updated), Reference, Creator
Adult Dataset, Census data from 1994 containing demographic features of adults and their income., Cleaned and anonymized., 48842, Comma separated values, Classification, 1996, [434], United States Census Bureau
Census-Income (KDD), Weighted census data from the 1994 and 1995 Current Population Surveys., Split into training and test sets., 299285, Comma separated values, Classification, 2000, [435][436], United States Census Bureau
IPUMS Census Database, Census data from the Los Angeles and Long Beach areas., None, 256932, Text, Classification regression, 1999, [437], IPUMS
US Census Data 1990, Partial data from 1990 US census., Results randomized and useful attributes selected., 2458285, Text, Classification regression, 1990, [438], United States Census Bureau
