File system,Host OS,Offline grow,Online grow,Offline shrink,Online shrink,add and remove physical volumes
FAT16 / FAT16 / FAT16,misc.,Yes[56],No,Yes[56],No,No
FAT32 / FAT32,misc.,Yes[56],No,Yes[56],No,No
ExFAT,misc.,No,No,No,No,No
NTFS,Windows,Yes,Yes,Yes,Yes,No
ReFS,Windows,?,Yes,?,No,No
HFS Plus,macOS,No,Yes,No,Yes,No
APFS,macOS,?,?,?,?,?
HFS Plus,Linux,No,No,No,No,No
SquashFS,Linux,No,No,No,No,No
NOVA (filesystem),Linux,No,No,No,No,No
JFS (file system)JFS (file system),Linux,Yes,No,No,No,No
XFSXFS,Linux,No,Yes,No,No,No
Lustre (file system)Lustre (file system),Linux,?,Yes,No,No,Yes
F2FSF2FS,Linux,Yes,No,No,No,No
NTFSNTFS,Linux,Yes,No,Yes,No,No
Ext2Ext2,Linux,Yes,No,Yes,No,No
Ext3Ext3,Linux,Yes,Yes,Yes,No,No
ReiserFSReiserFS,Linux,Yes,Yes,Yes,No,No
Reiser4Reiser4,Linux,Yes,Yes,Yes,No,No
Ext4Ext4,Linux,Yes,Yes,Yes,No,No
BtrfsBtrfs,Linux,Yes,Yes,Yes,Yes,Yes
NILFSNILFS,Linux,No,Yes,No,Yes,No
ZFS,misc.,No,Yes,No,Partial[67],Yes
JFS (file system),AIX,?,Yes,?,Yes,No
UFS2 (file system)UFS2 (file system),FreeBSD,Yes,Yes (FreeBSD 10.0-RELEASE or later),No,No,No
HAMMER (file system),DragonflyBSD,?,?,?,?,?
