Provider,Win.1,Linux1,Mac1,Android1,iOS1,Encrypted storage,Zero knowledge2,Secure Key Management3[1],Limited Megabyte planMegabyte,Unlimited Megabyte planMegabyte,$/Megabyte planMegabyte,Unlimited Bandwidth (computing) Bandwidth (computing),Provider,Cloud hosted Net Drive5,File synchronizationFile synchronization,Autodetect changes12,Public file hosting8,physical media restore9,Server location(s)10,Free online storage (non-trial)13,Maximum per-file size,External hard drive support14,Hybrid Option15,Green hosting,Software as a service
Acronis,Yes," Enterprise only, with limited data ",Yes,Yes,Yes,Yes,Optional[2],Yes,Optional (Enterprise),Yes (Only win/mac),No,Yes,Acronis,No,Yes,,,," //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States ",No,No limit,Yes,,,
Backblaze,Yes,Yes,Yes,Yes,Yes,Yes[3],No[3] Company must be given passphrase (to private key) to restore any data.,No,No,Yes,No,No,Backblaze,,,Yes,Yes,Yes," //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States ",10 GB[4],No limit,Yes,No,,
Baidu Cloud,Yes,Yes,Yes,Yes,Yes,Yes[5],No,?,No,No,Yes,,Baidu,,Yes,Yes,Yes,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,2 TB,4 GB (Non-member) 10 GB (Member) 20 GB (Super Member). [6],,?,,
Barracuda Networks,Yes,Yes,Yes,,,Yes[7],No,?,No fee per computer,No,Yes,,Barracuda Networks,Yes[ Wikipedia:Citation needed ],Yes,,No,Yes," //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, Canada, United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States ",No,,,?,,
Box (service),Yes," Partial (no offline sync, access through DAV server)[8][9] ",Yes,Yes,Yes,Yes[10],No[10],?,Yes,No,,,Box (service),Yes[11],Yes[12],Yes,,,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,10 GB,250 MB (Free) 5 GB (Paid),,,,
Carbonite (online backup),Yes,No,Yes,Yes,Yes,Yes," Partial, optional for Windows only[13] ",?,Yes (Business only),Yes (Home only),No[14],Yes [15],Carbonite (online backup),,Yes,Yes,Yes[16],,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,No,4 GB,Yes[17],Yes,,
CloudBerry Backup,Yes,Yes,Yes,No,No,Yes[18],YesWikipedia:Verifiability[ Wikipedia:Verifiability ],Yes,,,,Yes,CloudBerry Backup,Yes,Yes,Yes,,Yes,Global,No,No limit,Yes,Yes,,
CloudMe,Yes,Yes,Yes,Yes,Yes," No, but 3rd party apps available[ Wikipedia:Citation needed ] ",,?,,No,,Yes,CloudMe,Yes[19],Yes,Yes,,,//upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/23px-Flag_of_Sweden.svg.png Sweden,3 GB,150 MB (Free Accounts) No limit (Premium Accounts),No Limit,No,,
Comodo Backup,Yes,No,No,,,Yes[20],No,?,Yes,No,Yes (5),,Comodo Backup,No,No,,No,,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,No,,,,,
CrashPlan,Yes,Yes,Yes,Yes,Yes,Yes[21]," Yes, except for web restore[22] ",Yes," Yes, 10TB ",No,No,Yes[23],Crashplan,No,No,Yes[24],No,No," //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United StatesUnited States ",No,No Limit,Yes[26],No,,
