Assembler,Developer,Free and open-source software,Software license,Instruction set,Host Computing platform
IBM 1410/7010 OS Autocoder,IBM,,Free,IBM 1410 IBM 1410,IBM 1410/7010 Operating System
7070/7074 Autocoder,IBM,,Free,IBM 7070,
7080 Autocoder III,IBM,,Free,IBM 7080,IBM 7058 Processor
Symbolic Coding and Assembly Technique (SCAT),SHARE (computing),,Free,IBM 709 IBM 709,SHARE Operating System (SOS)
FORTRAN II Assembly Program (FAP),IBM,,Free,IBM 709 IBM 709,IBM 7090/94 IBSYS
Macro Assembly Program (MAP),IBM,,Free,IBM 709 IBM IBM 709 IBM 709,IBM 7090/94 IBSYS
IBM Basic assembly language,,,Free,IBM System/360,IBM Basic Programming Support
IBM High-Level Assembler,,,Proprietary software,Z/Architecture,numerous
IBM Assembler D,,,Free,IBM System/360,IBM DOS/360 and successors
IBM Assembler E,,,Free,IBM System/360,IBM OS/360 and successors
IBM Assembler F,,,Free,IBM System/360,IBM OS/360 and successors and OS/360 and successors
IBM IBM Basic assembly language and successors,,,Proprietary software,IBM System/360 and IBM System/360,IBM OS/360 and successors
IBM Assembler XF,,,Free,IBM System/370,numerous
PL360,,,Free,IBM System/360,IBM OS/360 and successors
