Name,Creator-maintainer,Based on,Standardized?,Specification,Binary format?,Human-readable?,Supports Reference (computer science)?Reference (computer science),Schema-Interface description language?,Standard API,Supports Zero-copy operations
Apache Avro,Apache Software Foundation,N/A,No,Apache Avro™ Specification,Yes,Partialj,N/A,Yes (built-in)," C, C#, C++, Java, PHP, Python, Ruby ",N/A
Apache Parquet,Apache Software Foundation,N/A,No,Apache ParquetApache Parquet,Yes,No,No,N/A," Java, Python, C++ ",No
ASN.1," International Organization for Standardization, International Organization for Standardization, International Organization for Standardization ",N/A,Yes,ISO/IEC 8824; X.680 series of ITU-T Recommendations," Yes (Basic Encoding Rules, Basic Encoding Rules, Basic Encoding Rules, Basic Encoding Rules, or custom via Basic Encoding Rules) "," Yes (XML Encoding Rules, XML Encoding Rules, XML Encoding Rules, or custom via XML Encoding Rules) ",Partialf,Yes (built-in),N/A,Yes (Octet encoding rules)
Bencode,Bram Cohen (creator) Bram Cohen (maintainer),N/A,De facto  standard via BitTorrent Enhancement Proposal (BEP),Part of BitTorrent protocol specification,Partially (numbers and delimiters are ASCII),No,No,No,No,No
Binn (serialization format),Bernardo Ramos,N/A,No,Binn Specification,Yes,No,No,No,No,Yes
BSON,MongoDB,JSON,No,BSON Specification,Yes,No,No,No,No,No
CBOR," Carsten Bormann, P. Hoffman ",JSON (loosely),Yes,RFC 7049,Yes,No,Yes through tagging,Yes (CDDL),No,No
Comma-separated values (CSV),RFC author: Yakov Shafranovich,N/A,Partial (myriad informal variants used),RFC 4180 (among others),No,Yes,No,No,No,No
Common Data Representation (CDR),Object Management Group,N/A,Yes,General Inter-ORB Protocol,Yes,No,Yes,Yes," ADA, C, C++, Java, Cobol, Lisp, Python, Ruby, Smalltalk ",N/A
D-Bus Message Protocol,Freedesktop.org,N/A,Yes,D-Bus Specification,Yes,No,No,Partial (Signature strings),Yes (see D-Bus),N/A
Extensible Data Notation (EDN),Cognitect,JSON (loosely),Yes,EDN Specification,No,Yes,No,No,No,N/A
Efficient XML Interchange (EXI),World Wide Web Consortium," XML, XML ",Yes,Efficient XML Interchange (EXI) Format 1.0,Yes,Yes (XML)," Yes (XPointer, XPointer) ",Yes (XML Schema (W3C))," Yes (Document Object Model, Document Object Model, Document Object Model, Document Object Model, Document Object Model) ",N/A
FlatBuffers,Google,N/A,No,Specification Specification,Yes,Yes (Apache Arrow),Partial (internal to the buffer),Yes [2]," C++, Java, C#, Go, Python, Rust, JavaScript, PHP, C, Dart, Lua, TypeScript ",Yes
Fast Infoset," International Organization for Standardization, International Organization for Standardization, International Organization for Standardization ",XML,Yes,ITU-T X.891 and ISO/IEC 24824-1:2007,Yes,No," Yes (XPointer, XPointer) ",Yes (XML schema)," Yes (Document Object Model, Document Object Model, Document Object Model, Document Object Model) ",N/A
FHIR,Health Level 7,REST basics,Yes,Fast Healthcare Interoperability Resources,Yes,Yes,Yes,Yes," Hapi for FHIRJSON JSON, JSON, JSON ",No
Ion (serialization format),Amazon.com,JSON,No,The Amazon Ion Specification,Yes,Yes,No,Yes   (Ion Schema),No,N/A
Java (programming language) serialization,Oracle Corporation,N/A,Yes,Java Object Serialization,Yes,No,Yes,No,Yes,N/A
JSON,Douglas Crockford,JavaScript syntax,Yes," STD 90/RFC 8259 (ancillary: RFC 6901, RFC 6902), ECMA-404, ISO/IEC 21778:2017 "," No, but see BSON, BSON, BSON ",Yes," Yes (JSON-LD; alternately: JSON-LD, JSON-LD, JSON-LD, JSON-LD), JSON-LD "," Partial (ASN.1, ASN.1 with ASN.1, ASN.1, ASN.1, ASN.1), ASN.1 "," Partial (JSON-LD, JSON-LD, JSON-LD), JSON-LD ",No
MessagePack,Sadayuki Furuhashi,JSON (loosely),No,MessagePack format specification,Yes,No,No,No,No,Yes
Netstring,Dan Bernstein,N/A,No,netstrings.txt,Partially (delimiters are ASCII),Yes,No,No,No,Yes
OGDL,Rolf Veen,?,No,Specification,Yes (Binary Specification),Yes,Yes (Path Specification),Yes (Schema WD),,N/A
OPC Unified Architecture,OPC Foundation,N/A,No,opcfoundation.org,Yes,No,Yes,No,No,N/A
OpenDDL,Eric Lengyel," C (programming language), C (programming language) ",No,OpenDDL.org,No,Yes,Yes,No,Yes (OpenDDL Library),N/A
PHP serialization format,PHP Group,N/A,Yes,No,Yes,Yes,Yes,No,Yes,N/A
Pickle (Python),Guido van Rossum,Python (programming language),De facto  standard via Python Enhancement Proposals (PEPs),[3] PEP 3154 -- Pickle protocol version 4,Yes,No,No,No,Yes ([4]),No
Property list,NeXT (creator) NeXT (maintainer),?,Partial,Public DTD for XML format,Yesa,Yesb,No,?," Cocoa, CoreFoundation, OpenStep, GnuStep ",No
Protocol Buffers (protobuf),Google,N/A,No,Developer Guide: Encoding,Yes,Partiald,No,Yes (built-in)," C++, Java, C#, Python, Go, Ruby, Objective-C, C, Dart, Perl, PHP, R, Rust, Scala, Swift, Julia, Erlang, D, Haskell, Action Script, Delphi, Elixir, Elm, Erlang, GopherJS, Haskell, Haxe, JavaScript, Kotlin, Lua, Matlab, Mercurt, OCaml, Prolog, Solidity, Typescript, Vala, Visual Basic ",No
Ethereum Recursive Length Prefix (RLP),Ethereum,N/A,No,Specification,Yes,No,No,No," Erlang, Go, Java, Javascript, Kotlin, Objective-C, Python, Swift, PHP ",Yes
S-expression,John McCarthy (computer scientist) (original) John McCarthy (computer scientist) (internet draft)," Lisp (programming language), Lisp (programming language) ",Partial (largely  de facto ),Internet Draft Internet Draft," Yes (""Canonical representation"") "," Yes (""Advanced transport representation"") ",No,No,,N/A
Smile (data interchange format),Tatu Saloranta,JSON,No,Smile Format Specification,Yes,No,No," Partial (JSON Schema Proposal, other JSON schemas/IDLs) "," Partial (via JSON APIs implemented with Smile backend, on Jackson, Python) ",N/A
SOAP,W3C,XML,Yes,W3C Recommendation: W3C Recommendation W3C Recommendation," Partial (Efficient XML Interchange, Efficient XML Interchange, Efficient XML Interchange, Efficient XML Interchange, Efficient XML Interchange base64 data) ",Yes," Yes (built-in id/ref, XPointer, XPointer) "," Yes (WSDL, WSDL) "," Yes (Document Object Model, Document Object Model, Document Object Model, Document Object Model) ",N/A
SDXF,Max Wildgrube (page does not exist),N/A,Yes,RFC 3072,Yes,No,No,No,,N/A
Apache Thrift,Facebook (creator) Facebook (maintainer),N/A,No,Original whitepaper,Yes,Partialc,No,Yes (built-in)," C++, Java, Python, PHP, Ruby, Erlang, Perl, Haskell, C#, Cocoa, JavaScript, Node.js, Smalltalk, OCaml, Delphi and other languages[2] ",N/A
UBJSON," The Buzz Media, LLC "," JSON, JSON ",No,[5],Yes,No,No,No,No,N/A
External Data Representation (XDR),Sun Microsystems (creator) Sun Microsystems (maintainer),N/A,Yes,STD 67/RFC 4506,Yes,No,Yes,Yes,Yes,N/A
XML,W3C,SGML,Yes,W3C Recommendation: W3C Recommendation W3C Recommendation," Partial (Efficient XML Interchange, Efficient XML Interchange, Efficient XML Interchange, Efficient XML Interchange base64 data) ",Yes," Yes (XPointer, XPointer) "," Yes (XML schema, XML schema) "," Yes (Document Object Model, Document Object Model, Document Object Model, Document Object Model) ",N/A
XML-RPC,Dave WinerDave Winer,XML,No,XML-RPC Specification,No,Yes,No,No,No,No
YAML," Clark Evans, Ingy döt Net, and Oren Ben-Kiki "," C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language)C (programming language) ",No,Version 1.2,No,Yes,Yes," Partial (Kwalify, Rx, built-in language type-defs) ",No,No
