Model,Launch,Code name,Graphics core,Fab (nm),Transistors (million),Die size (Millimeter Squared),Bus interface,Core clock2 (MHz),Core config1,Fillrate,,,Memory3,,,,,Processing power (GFLOPS),Features / Notes
,,,,,,,,,,Pixel (Pixel/s),Texture (Texel (graphics)/s),FP32 (Pixel/s),Size (Megabyte),Bandwidth (Gigabyte/s),Bus type,Effective clock (MHz),Bus width (Bit),,
Radeon HD 4200 Graphics (785G Chipset),Aug 2009,AMD 700 chipset series,RV620,55,>205,~73 (~9 × 8.05),HT 3.0,500,40:4:4,2,2,1,Up to 512 system + optional 128 sideport,20.8 (system) + 2.6 (sideport),HyperTransport (system) + HyperTransport-1066 HyperTransport-1333 (sideport),1333 (sideport),16 (sideport),40,UVD2
Radeon HD 4250 Graphics (880G Chipset),Mar 2010,AMD 800 chipset series,,,,,,560,,2.24,2.24,1.12,,,HyperTransport (system) + HyperTransport-1333 (sideport),,,44.8,
Radeon HD 4290 Graphics (890GX Chipset),,AMD 800 chipset series,,,,,,700,,2.8,2.8,1.4,,,,,,Up to 512 system + 128 sideport,,56
