Model (Codename),Release Date &amp; Price,Microarchitecture &amp; Microarchitecture,Transistors &amp; Die Size,Core,,FillrateFillrateFillrateFillrate,,Processing powerGFLOPSGFLOPS (GFLOPS),,Memory,,,,TBP,Bus interface
,,,,Config[e],ClockHertz (Hertz),Texture (Texel (graphics)/s),Pixel (Pixel/s),Single precision floating-point format,Double precision floating-point format,Bus type &amp; width,Size (Gibibyte),Clock (Transfer (computing)),Band- width (Gigabyte/s),,
Radeon R5 430 (Oland Pro) [59][60],June 2016 OEM,Graphics Core Next 28 nm,1040×106 90 mm2,384:24:8 6 CU,730  780,17.52  18.72,5.84  6.24,560  599,37.4  40,DDR3 GDDR5 128-bit,1 2,1800 4500,28.8 72,50 W,PCIe 3.0 ×8
Radeon R5 435 (Oland) [59][61],June 2016 OEM,,,320:20:8 5 CU,1030,20.6,8.24,659,41.2,DDR3 64-bit,2,2000,16,50 W,
Radeon R7 430 (Oland Pro) [62][63],June 2016 OEM,,,384:24:8 6 CU,730  780,17.52  18.72,5.84  6.24,560  599,37.4  40,DDR3 GDDR5 128-bit,1 2 4,1800 4500,28.8 72,50 W,
Radeon R7 435 (Oland) [62][64],June 2016 OEM,,,320:20:8 5 CU,920,18.4,7.36,589,36.8,DDR3 64-bit,2,2000,16,50 W,
Radeon R7 450 (Cape Verde Pro) [62][65],June 2016 OEM,,1500×106 123 mm2,512:32:16 8 CU,1050,33.6,16.8,1075,65.2,GDDR5 128-bit,2,4500,72,65 W,PCIe 3.0 ×16
Radeon RX 455 (Bonaire Pro) [62][66],June 2016 OEM,Graphics Core Next 28 nm,2080×106 160 mm2,768:48:16 12 CU,1050,50.4,16.8,1613,100.8,GDDR5 128-bit,2,6500,104,100 W,
Radeon RX 460 (Baffin) [67][68][69][70][71],August 2016 $109 USD(2 GB) $139 USD(4 GB),Graphics Core Next Graphics Core Next/Graphics Core Next Graphics Core NextGraphics Core NextGraphics Core Next,3000×106 123 mm2,896:56:16 14 CU,1090  1200,61  67.2,17.4  19.2,1953  2150,122  132,GDDR5 128-bit,2 4,7000,112,<75 W,PCIe 3.0 x8
Radeon RX 470D (Ellesmere) [74],October 2016 CNY ¥1299 (China Only),,5700×106 232 mm2,1792:112:32 28 CU,926  1206,103.7  135.1,29.6  38.6,3319  4322,207  270,GDDR5 256-bit,4,7000,224,120 W,PCIe 3.0 ×16
Radeon RX 470 (Ellesmere Pro) [67][69][70],August 2016 $179 USD,,,2048:128:32 32 CU,926  1206,118.5  154.4,29.6  38.6,3793  4940,237  309,GDDR5 256-bit,4 8,6600,211,120 W,
Radeon RX 480 (Ellesmere XT) [75][76][77][78],June 2016 $199 USD (4 GB) $239 USD (8 GB),,,2304:144:32 36 CU,1120  1266,161.3  182.3,35.8  40.5,5161  5834,323  365,GDDR5 256-bit,4 8,7000 8000,224 256,150 W,
