Asian interplanetary exploration probes,,,,,
Mission name,Destination,Type,Year,Vehicle,Outcome
Japan Japan,Mars,Orbiter,2003,Japan Japan,Failure
Japan Japan,Asteroid: 25143 Itokawa,Sample return,2005-7,Japan Japan,Success
Japan Japan (PLANET-C),Venus (planet),Orbiter,2010,Japan Japan,Failure (Failed orbiter insertion)
,,,2015,,Success
Japan Japan,Venus (planet),Flyby,2010,,Success
Japan Japan,Venus (planet),Flyby,2010,,Failure
China China,Mars,Orbiter,2011,Ukraine Ukraine,Failure
China China,Asteroid: 4179 Toutatis,Flyby,2012,China China,Success
India India,Mars,Orbiter,2013-14,India India-XL,Success
Japan Japan,Asteroid: 162173 Ryugu,Sample return,2014-20,Japan Japan,en-route
Japan Japan,Asteroid: 2000 DP107,Flyby,2016,Japan Japan,Failure
Japan Japan,Mercury (planet),Orbiter,2018-24,European Union European Union ECA,en-route
India India,Sun,Orbiter,2020,India India-XL,Planned
China China,Mars,Orbiter/Rover,mid-2020,China China,Planned
United Arab Emirates United Arab Emirates,Mars,Orbiter,2020-21,Japan Japan,Planned
Japan Japan,Asteroid: 3200 Phaethon,Flyby,2022-26,Japan Japan,Planned
India India,Venus (planet),Orbiter and aerobots,2023,India India,Planned
Japan Japan,Mars,Orbiter,2024-2025,TBD,Planned
,Phobos (moon),Sample return,,,Planned
India India,Mars,Orbiter Lander Rover,TBD,India India MkII or India,Planned
