Model (Codename),Release Date,Microarchitecture &amp; Microarchitecture,Transistors &amp; Die Size,Core,,FillrateFillrateFillrateFillrate,,Processing powerGFLOPSGFLOPS (GFLOPS),,Memory,,,,Thermal Design Power,Bus interface
,,,,Config[e],ClockHertz (Hertz),Texture (Texel (graphics)/s),Pixel (Pixel/s),Single precision floating-point format,Double precision floating-point format,Bus type &amp; width,Size (Gibibyte),Clock (Transfer (computing)),Band- width (Gigabyte/s),,
Radeon Pro 555 (Polaris 21) [348][349][350][351],June 2017,Graphics Core Next 14 nm,3.0×109 123 mm2,768:48:16 12 CU,850,40.8,13.6,1306,1/16 SP,GDDR5 128-bit,2,5100,81.60,50 W,PCIe 3.0 ×16
Radeon Pro 555X (Polaris 21) [348][349][350][352],July 2018,,,768:48:16 12 CU,907,43.54,14.51,1393,1/16 SP,GDDR5 128-bit,4,5100,81.60,50 W,
Radeon Pro 560 (Polaris 21) [348][349][350][353],June 2017,,,1024:64:16 16 CU,907,58.05,14.51,1858,1/16 SP,GDDR5 128-bit,4,5080,81.28,50 W,
Radeon Pro 560X (Polaris 21) [348][349][350][354],July 2018,,,1024:64:16 16 CU,1004,64.26,16.06,2056,1/16 SP,GDDR5 128-bit,4,5080,81.28,50 W,
Radeon Pro 570 (Polaris 20) [348][349][350][355],June 2017,,5.7×109 232 mm2,1792:112:32 28 CU,1000,112,32,3584,1/16 SP,GDDR5 256-bit,4,6800,217.6,120 W,
Radeon Pro 575 (Polaris 20) [348][349][350][356],June 2017,,,2048:128:32 32 CU,1100,140.8,35.2,4506,1/16 SP,GDDR5 256-bit,4,6800,217.6,120 W,
Radeon Pro 580 (Polaris 20) [348][349][350][357],June 2017,,,2304:144:32 36 CU,1100  1200,172.8,38.4,5530,1/16 SP,GDDR5 256-bit,8,6800,217.0,150 W,
