John McCain,,Barack Obama,
" McCain is opposed to federal funding of Amtrak. He considers it to be a ""Amtrak project"", particularly as far as longer distance trains are concerned.AmtrakAmtrak He has also argued for more stringent safety standards with respect to cars.Amtrak  ",,,
Chuck Baldwin,Bob Barr,Cynthia McKinney,Ralph Nader
,,Supports increased funding for public transit using alternative fuel technologies.[72],Nader was instrumental in the unanimous passage of the 1966 National Traffic and Motor Vehicle Safety Act.National Traffic and Motor Vehicle Safety Act
