Name,Vendor,Software license,Operating system,Notes
Adaptive Server Enterprise,SAP AG,Proprietary software,Cross-platform,
CUBRID,NHN Corporation,GNU GPL/GNU GPL," Linux, Windows ",
IBM Db2 Family,IBM,Proprietary,Cross-platform,
Greenplum,Greenplum division of Greenplum,Proprietary,?,Uses PostgreSQL codebase
Informix,IBM,Proprietary,Cross-platform,
InterSystems Caché,InterSystems,Proprietary,Cross-platform,
Microsoft SQL Server,Microsoft Corporation,Proprietary," Windows, Linux ",Supports data objects in .NET languages
Oracle Database,Oracle Corporation,Proprietary," Linux, Windows, Unix ",
PostgreSQL,PostgreSQL Global Development Group,PostgreSQL,Cross-platform,
OpenEdge Advanced Business Language (formerly Progress 4GL),Progress Software Corporation,Proprietary,Cross-platform,
Virtuoso Universal Server,OpenLink Software,GNU GPL2 or proprietary,Cross-platform,
VMDS (Version Managed Data Store)," GE Energy, a division of GE Energy ",Proprietary,?,GIS for public utilities; can be stored inside Oracle Database
Wakanda (software),4th Dimension (software),Affero General Public License3 or proprietary," Windows, Linux, macOS ",Based on REST and server-side JavaScript
XDB Enterprise Server,Micro Focus,Proprietary," DOS, Windows NT, OS/2 ",
Zope Object Database,Zope Corporation,Zope Public License,Cross-platform," For Python, also included in Zope web application server "
