NMDC Client,Free and open source software,Software license,Active,Windows,Linux,Mac OS X,Other OS,GUI,Command-line interface,Other UI,Programming language,Based on
MLDonkey,Yes,GNU GPL,No,Yes,Yes,Yes,No,Yes,Yes,Http," OCaml, OCaml, OCaml ",
Shareaza,Yes,GNU GPL,Yes,Yes,No,No,No,Yes,Unknown,Unknown,C++,
NeoModus Direct Connect,No,Proprietary software Proprietary software,No,Yes,Yes,No,No,Yes,No,No," Visual Basic, Visual Basic ",
ShakesPeer,Yes,GNU GPL,No,No,No,Yes,No,Yes,No,No,C (programming language),
Valknut,Yes,GNU GPL,No,No,Yes,No,FreeBSD,Yes,No,No,C++,
DCTC,Yes,GNU GPL,No,,,,,No,No,Yes,C++,
DC#,Yes,GNU GPL,No,Yes,No,No,No,Yes,No,No,C Sharp (programming language),
LDCC,Yes,GNU GPLv2,No,No,Yes,No,No,No,No,Yes,C (programming language),
DCDM++,Yes,GNU GPL,No,Yes,No,No,No,Yes,No,No,C++,DC++
fulDC,Yes,GNU GPL,No,Yes,No,No,No,Yes,No,No,C++,DC++
RevConnect,Yes,GNU GPL,No,Yes,No,No,No,Yes,No,No,C++,DC++
CzDC,Yes,GNU GPL,No,Yes,No,No,No,Yes,No,No,C++,DC++
EiskaltDC,Yes,GNU GPL,No,No,Yes,Yes,FreeBSD,Yes,No,No,C++,Valknut
ncdc,Yes,MIT Licence,Yes,No,Yes,Yes,FreeBSD,No,Yes,No,C (programming language),
