Display technology,Screen shape,Largest known diagonal,,Typical use,Usable in bright room
,,(in),(cm),,
Eidophor front projection,Flat,(limited only by brightness),,Television,No
Shadow mask Shadow mask,Spherical curve or Flat,42[1],107," Computer display, Computer display ",Yes
Aperture grille Aperture grille,Cylindrical curve or Flat,42[2],107," Computer display, Computer display ",Yes
Monochrome Monochrome,Spherical curve or Flat,30[3],76," Computer display, Computer display,  Computer display, Computer display ",Yes
Direct view Charactron Charactron,Spherical curve,24,61," Computer display, Computer display ",No
Cathode ray tube self-contained rear-projection,Flat Lenticular lens,80[4],203,Television,Yes
CRT projector,Flat,(limited only by brightness),,Television or presentation,No
Plasma display (PDP),Flat,152[5],386,Television,Partial
Direct view LCD,Flat,110[6],274," Computer display, Computer display ",Yes
LCD projector,Flat Lenticular lens,70[7],178,Television,Yes
LCD projector,Flat,(limited only by brightness),,Television or presentation,Yes
Digital Light Processing self-contained rear-projection,Flat Lenticular lens,120[8],305,Television,Yes
Digital Light Processing front-projection,Flat,(limited only by brightness),,Television or presentation,Yes
Liquid crystal on silicon self-contained rear-projection,Flat,110[9],279,Television,Yes
Liquid crystal on silicon front-projection,Flat,(limited only by brightness),,Television or presentation,Yes
Laser video display self-contained rear projection,Flat Lenticular lens,75[10],191,Television,Yes
LED display,Flat,279.92[11],711," Billboard, Billboard ",Yes
Surface-conduction electron-emitter display,Flat,55[12],140," Computer display, Computer display ",Yes
Field emission display,Flat,?,?," Computer display, Computer display ",Yes
Electrophoretic display (e-paper),Flat (flexible),?,?,Electronic paper,Yes
Organic light-emitting diode," Any, but most commonly flat rectangular with or without rounded edges, notch(es) and holes, circular, or curved (flexible)[13] ",88[14],223.52," Computer display, Computer display, Computer display ",Yes
LED backlit LCD," Flat rectangular, circular, semi circle ",80,203," Television, Television ",Yes
Quantum dot display,Curved or Flat,80,203," Television, Television ",Yes
Telescopic pixel display,,,,,
Ferroelectric liquid crystal display,,,,,
Micro-LED,Curved or Flat,??,??," Mobile phone, Wearable Electronics, VR Display, Smartwatch, Optical Instruments, AR Display ",Yes
Quantum dot displayQuantum dot displayQuantum dot displayQuantum dot displayQuantum dot display,N/A,N/A,N/A,N/A,Yes
Interferometric modulator display,Flat,1.2[19],3,Mobile phoneMobile phone,Yes
Laser Phosphor Display (LPD),Flat / Box,196,497.8,Presentation,Yes
Virtual retinal display,Any shape,N/A,N/A," Experimental, possibly Virtual reality ",Depends on system
