Country,Engine,Thrust (vac.),Stage,Cycle,Active,Status
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,LE-5 cryogenic engine," LE-5 — 102.9 kN (23,100 lbf) ---------- LE-5A — 121.5 kN (27,300 lbf) ---------- LE-5B — 144.9 kN (32,600 lbf) ",Upper stage,5 — Gas-generator cycle 5A and 5B — Gas-generator cycle,1986 —  present,In service
,LE-7 cryogenic engine," LE-7 — 1,078 kN (242,000 lbf) ---------- LE-7A — 1,074 kN (241,000 lbf) ",Booster,Staged combustion cycle,1994 —  present,In service
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,YF-73 cryogenic engine," 44.15 kN (9,930 lbf) ",Upper stage,Gas-generator cycle,1987-2000,Retired
,YF-75 cryogenic engine," 78.45 kN (17,640 lbf) ",Upper stage,Gas-generator cycle,1994 —  present,In service
,YF-75D cryogenic engine," 88.26 kN (19,840 lbf) ",Upper stage,Expander cycle,2016 —  present,In service
,YF-77 cryogenic engine," 700 kN (160,000 lbf) ",Booster,Gas-generator cycle,2016 —  present,In service
//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,CE-7.5 cryogenic engine," 73.5 kN (16,500 lbf) ",Upper stage,Staged combustion cycle,2014 —  present,In service
,CE-20 cryogenic engine," 200 kN (45,000 lbf) ",Upper stage,Gas-generator cycle,2017 —  present,In service
,SCE-200 semi-cryogenic engine," 2,030 kN (460,000 lbf) ",Booster,Staged combustion cycle,After 2022,Under development
