Model,Code nameCode name,Fab (Nanometer),Computer bus Computer bus,Core clock (Hertz),Boost clock (Hertz),Memory clock (Hertz),Core config1,FillrateFillrate,,Memory,,,,Processing power (GFLOPS)GFLOPS,,Supported Application programming interface version,,,,,Thermal design power (Watts),Notes
,,,,,,,,Pixel (Pixel/s),Texture (Texel (graphics)/s),Size (Gigabyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit),Single precision floating-point format,Double precision floating-point format,Direct3D,OpenGL,Vulkan (API),OpenCL,CUDA,,
Quadro RTX 4000,TU104-850-A1,12,PCIe 3.0 ×16,1005,1545,1625 (13000),2304:144:64:36:288,98.9,222.5,8,416,GDDR6,256,7119,222.5,12.1,4.6,1.1,1.2,7.5,160,3x DisplayPort 1x USB Type-C
Quadro RTX 5000,TU104-875-A1,,,1620,1815,1750 (14000),3072:192:64:48:384,116.2,348.5,16,448,,,11151,348.5,,,,,,200,
Quadro RTX 6000,TU102-875-A1,,,1440,1770,,4608:288:96:72:576,169.9,509.8,24,672,,384,16312,509.8,,,,,,250,
Quadro RTX 8000,,,,,,,,,,48,,,,,,,,,,,,
