Model (Codename),Release Date &amp; Price,Microarchitecture &amp; Microarchitecture,Transistors &amp; Die Size,Core,,FillrateFillrateFillrateFillrate,,Processing powerGFLOPSGFLOPS (GFLOPS),,,Memory,,,,TBP,Bus interface
,,,,Config[e],ClockHertz (Hertz),Texture  (Texel (graphics)/s),Pixel  (Pixel/s),Half-precision floating-point format,Single precision floating-point format,Double precision floating-point format,Bus type &amp; width,Size  (Gibibyte),Clock  (Transfer (computing)),Bandwidth  (Gigabyte/s),,
Radeon RX Vega 56 (Vega10 XL)[97][98][99]," August 28, 2017 $399 USD ",Graphics Core Next Graphics Core Next/Graphics Core Next Graphics Core NextGraphics Core NextGraphics Core Next,12.5×109 486 mm2,3584:224:64 56 CU,1156  1471,258.9  329.5,74.0  94.1,16572  21088,8286  10544,518  659,HBM2 2048-bit,8,1600,410,210 W,PCIe 3.0  ×16
Radeon RX Vega 64 (Vega10 XT)[97][99][101]," August 14, 2017 $499 USD ",,,4096:256:64 64 CU,1247  1546,319.2  395.8,79.8  98.9,20431  25330,10215  12665,638  792,,,1890,483.8,295 W,
Radeon RX Vega 64 Liquid (Vega10 XT)[97][99][101]," August 14, 2017 $699 USD ",,,,1406  1677,359.9  429.3,90.0  107.3,23036  27476,11518  13738,720  859,,,,,345 W,
