," ""+"" quantifier ",Negated character classes,Non-greedy quantifiers [Note 1],Shy groups [Note 2],Recursion,Look-ahead,Look-behind,Backreferences [Note 3],>9 indexable captures
Boost.Regex (page does not exist),Yes,Yes,Yes,Yes,Yes[Note 4],Yes,Yes,Yes,Yes
Boost.Xpressive (page does not exist),Yes,Yes,Yes,Yes,Yes[Note 5],Yes,Yes,Yes,Yes
CL-PPCRE (page does not exist),Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
EmEditor,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
FREJ,No[Note 6],No,Some[Note 6],Yes,No,No,No,Yes,Yes
GLib/GRegex,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Grep,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,?
Haskell (programming language),Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
RXP,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
International Components for Unicode Regex,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Java (programming language),Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
JavaScript (JavaScript),Yes,Yes,Yes,Yes,No,Yes,Yes[Note 7],Yes,Yes
Just Great Software (page does not exist),Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Lua (programming language),Yes,Yes,Some[Note 8],No,No,No,No,Yes,No
.NET framework,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
OCaml,Yes,Yes,No,No,No,No,No,Yes,No
OmniOutliner 3.6.2,Yes,Yes,Yes,No,No,No,No,?,?
Perl Compatible Regular Expression,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Perl,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PHP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Python (programming language),Yes,Yes,Yes,Yes,Yes[Note 9],Yes,Yes,Yes,Yes
Qt (toolkit)/QRegExp,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
RE2 (software),Yes,Yes,Yes,Yes,No,No,No,No,Yes
Ruby (programming language),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TRE (computing),Yes,Yes,Yes,Yes,No,No,No,Yes,No
Vim (text editor),Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
RGX,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Tcl,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
TRegExpr,Yes,?,Yes,?,?,?,?,?,?
XML Schema,Yes,Yes,No,N/A,No,No,No,No,N/A
XPath 3/XPath 3,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
XRegExp,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
