Country,Resolution,Satellite,Year launched
//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,0.35 meter,RISAT-2BR1,2019
,0.5 meter x 0.3 meter,RISAT-2B,2019
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,0.5 meter,Information Gathering Satellite R-5,2017
//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/21px-Flag_of_Israel.svg.png Israel,0.5,TecSAR,2008
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,0.5 meter,Yaogan 29,2015
//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/23px-Flag_of_South_Korea.svg.png South Korea,1 meter,KOMPSat-5,2013
