Format name,Operating system,Filename extension,Explicit processor declarations,Arbitrary Memory segmentation,MetadataMetadata,Code signing,String (computer science),Symbol table,64-bit,Fat binary,Can contain Icon (computing)
OS/360 Object File Format," OS/360 and successors, and OS/360 and successors, mainframe operating systems ",none,No,No,No,No,No,Yes,Yes,No,No
GOFF,IBM MVS and MVS mainframe operating systems,none,No,No,Yes,No,Yes,Yes,Yes,No,No
A.out,Unix-like,none,No,No,No,No,Yes[1],Yes[1],Extension,No,No
COFF,Unix-like,none,Yes by file,Yes,No,No,Yes,Yes,Extension,No,No
ECOFF," Ultrix, Ultrix, Ultrix ",none,Yes by file,Yes,No,No,Yes,Yes,Yes,No,No
XCOFF," IBM AIX, IBM AIX, IBM AIX ",none,Yes by file,Yes,No,No,Yes,Yes[2],Yes,No,No
Executable and Linkable Format," Unix-like, Unix-like, Unix-like from R4 onwards, Unix-like ",none,Yes by file,Yes,Yes,Yes[3],Yes,Yes[4],Yes,Extension[5],Extension[6]
Mach-OMach-O," NeXTSTEP, NeXTSTEP, NeXTSTEP, NeXTSTEP, NeXTSTEP ",none,Yes by section,Some (limited to max. 256 sections),Yes,Yes,Yes,Yes,Yes,Yes,No
System Object Model (file format)," HP-UX, HP-UX ",?,Unknown,Unknown,No,No,Unknown,Yes,No,Unknown,No
Amiga Hunk,AmigaOS,none,No,Yes,Yes,No,No,Yes,No,Yes,No
Preferred Executable FormatPreferred Executable Format," Classic Mac OS, Classic Mac OS (PPC only) ",none,Yes by file,No,No,No,Yes,Yes,No,No,No
CMD file (CP/M)," CP/M-86, CP/M-86, CP/M-86, CP/M-86, CP/M-86, CP/M-86, CP/M-86, CP/M-86, CP/M-86, CP/M-86, CP/M-86, CP/M-86, CP/M-86, CP/M-86, CP/M-86 ",.CMD,No (Intel x86 only),Yes,No,No,Extension,Extension,No,No,No
FlexOS 186," FlexOS 186, FlexOS 186, FlexOS 186, FlexOS 186, FlexOS 186, FlexOS 186, FlexOS 186 ",.186,No (Intel 80186/Intel 80186 and higher only),Yes,No,No,Extension,Extension,No,No,No
FlexOS 286," FlexOS 286, FlexOS 286, FlexOS 286, FlexOS 286, FlexOS 286, FlexOS 286 ",.286,No (Intel 80286 and higher only),Yes,No,No,Extension,Extension,No,No,No
CP/M-68K," CP/M-68K, CP/M-68K, CP/M-68K ",.68K,No (Motorola 68000 and higher only),Yes,No,No,Unknown,Unknown,No,No,No
COM file (CP/M)," CP/M, CP/M, CP/M, CP/M ",COM file,No (Intel 8080/Intel 8080 only),Extension (Basic Disk Operating System 3 and higher only),No,No,No,No,No,Extension,No
COM file (DOS)," DOS, DOS, DOS (except for 64-bit editions), DOS (DOS 3.1 only), DOS, DOS, DOS, DOS, DOS, DOS, DOS, DOS ",COM file,No (Intel x86 only),No,Extension (Novell/Caldera VERSION.EXE etc.),No,No,No,Extension,Extension,No
DOS MZ executable," DOS, DOS, DOS (except for 64-bit editions), DOS, DOS, DOS, DOS, DOS, DOS, DOS ",.EXE,No (Intel x86 only),Yes,Extension(Novell/Caldera VERSION.EXE etc.),No,Extension,Extension,Extension,No,No
MZ (GEM)," Graphics Environment Manager, Graphics Environment Manager ",.APP/.ACC,No (Intel x86 only),Yes,No,No,Unknown,Unknown,No,No,Unknown
New Executable," MS-DOS 4.0 (multitasking), MS-DOS 4.0 (multitasking), MS-DOS 4.0 (multitasking), MS-DOS 4.0 (multitasking) ",.EXE,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,No,Yes
" LE executable, (LE executable, LE executable) "," OS/2 (2.0 and higher only), some OS/2 ",.EXE,Yes by file (Intel 80286 and higher only),Yes,Yes,No,Yes,Yes,No,No,Yes
LX executable," OS/2 (2.0 and higher only), some 32-bit OS/2 ",.EXE,Yes by file,Yes,Yes,No,Yes,Yes[9],No,No,Yes
Portable Executable," Windows, Windows, Windows, Windows (R3 only) ",.EXE,Yes by file,Yes,Yes,Yes[10],Yes,Yes,No,No,Yes
Portable Executable,Windows (64-bit editions only),.EXE,Yes by file,Yes,Yes,Yes,Yes,Yes,Yes,Yes[11],Yes
Personal Information Manager/Personal Information Manager,PalmDOS (PalmDOS applications only),.PIM/.PIM,No (Intel x86 only),Yes,No,No,No,No,No,No,No
DL executable,MS-DOS MS-DOS applications (MS-DOS only),.EXM,No (Intel 80186/Intel 80186 and higher only),Yes,No,No,No,No,No,No,No
MP executable,Phar Lap (company) Phar Lap (company),.EXP,Unknown (Intel 80286 and higher only),Yes,No,No,Unknown,Unknown,No,No,No
P2 executable,Phar Lap (company) 16-bit Phar Lap (company),.EXP,Unknown (Intel 80286 and higher only),Yes,No,No,Unknown,Unknown,No,No,No
P3 executable,Phar Lap (company) 32-bit Phar Lap (company),.EXP,Unknown (Intel 80386 and higher only),Yes,No,No,Unknown,Unknown,No,No,No
GEOS," PC/GEOS, PC/GEOS, PC/GEOS, PC/GEOS ",.GEO,Unknown (Intel x86 only),Unknown,Unknown,No,Unknown,Unknown,No,No,Unknown
